rank,location,total_violations,hotspot_score,severity,description
10588,"Cunningham Road, Embassy Zenith, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10589,"Cunningham Crescent Road, Prestige Exotica, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10590,"Cubbon Road, Prestige Saleh Ahmed, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10591,"Bolas, Sampige Road, Sadashivanagar, Sadashiva Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560080, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10592,"Boeing, Dasarahalli Main Road, Buvaneswari Nagara, Byatarayanapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560092, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10593,"Blum, 151/1, Chord Road, Kethamaranahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10594,"Brigade Gateway Road, Brigade Gateway Residences, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10595,"Binny Mill Main Road, D Swamy Layout, Anjanappa Garden, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10596,"Bommasandra Jigani Link Road, Sattva Texonic, Bommasandra Industrial Area, Bommasandra, Bengaluru, Karnataka. Pin-560099 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10597,"Bommanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10598,"Bommanahalli Road, Sattva Songbird, Virgonagar, Avalahalli South Taluka, Bengaluru, Karnataka. Pin-560049 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10599,"Bommanahalli Road, Prestige Tranquility, Bommenahalli, Bengaluru, Karnataka. Pin-560049 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10600,"Born Babies, 22nd Cross Road, Sector 3, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10601,"Varthuru Kodi, Varthur Road, Ramagondanahalli, Whitefield, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10602,"Varthur Road, Sangama Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10603,"12th Main Road, Indian Airlines Staff Quarters, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10604,"13th Cross Road, Block 1, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10605,"13th A Main Road, 1st Stage, Yelahanka New Town, Bengaluru, Karnataka. Pin-560064 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10606,"135, Infantry Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10607,"Brindavan Grand, Madhura Nagara Sorahunase Main Road, Gandhi Circle, Varthur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10608,"Cottonpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560023, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10609,"Cubbon Road, FM Cariappa Colony, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10610,"Cubbon Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10611,"Cubbon Road, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10612,"Cottonpete Main Road, Cheluvadi Palya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10613,"Vatal Nagaraj Road, Rajajinagar 4M Block, Da.Ra. Bendre Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10614,"12th Cross Road, Suraj Ganga Socrates, Raghuvanahalli, Bengaluru, Karnataka. Pin-560109 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10615,"12th Main Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10616,"12th Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10617,"Vasavi Mahal Road, K.R Pura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560036, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10618,"Vasanthapura Main Road, Prashanthi Nagar Extension, Bikaspura, Bengaluru, Karnataka. Pin-560062 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10619,"Varthuru Road, Big Bazaar Junction, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10620,"Varthuru Road, 38 and Banyan, Vishwa Vihar, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10621,"Bombay Shirt Company, 25/5, Lavelle Road, D'Souza Layout, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore Urban, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10622,"Bombay Dyeing, Siddaih Puranik Road, Kirloskar Colony, Basaveshwaranagar, Basaveshwara Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10623,"Conçu, 12th Main Road, Motappanapalya, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10624,"Concurrency Road, Sarangapani, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10625,"Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560051, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10626,"Venkatapura Main Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10627,"Venkatappa Road, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10628,"Venkatala, Akash Ward, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10629,"12th Cross Road, Jeevan Griha, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10630,"12th Cross Road, Indiranagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10631,"12th Cross Road, Income Tax and Central Excise Staff Quarters, Jayamahal Extension, Bengaluru, Karnataka. Pin-560046 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10632,"Veeranapalaya Main Road, Govind Pura, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10633,"Veeranapalaya Main Road, Bhuvanagiri Layout, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10634,"Vedantu, 1081, 18th Cross Road, Sector 3, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10635,"Bore Bank Cross Road, Puttanna Junction, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10636,"Bommasandra, Anekal, Bengaluru Urban, Karnataka, 560100, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10637,"Broadway Road, Meelad Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10638,"Broadcom, Ecospace Internal Road, RMZ Ecospace, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10639,"Veeranapalaya Main Road, Abodh Valmark, Govindpura, Bengaluru, Karnataka. Pin-560045 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10640,"Veerabhadra Nagara, Deepanjali Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560085, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10641,"Veerabhadra Nagara, Avalahalli, Deepanjali Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560026, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10642,"Veera Pillai Street, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10643,"Victoria Embassy, 47,48, Residency Road, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10644,"Vibgyor High School Road, Sumadhuras Sahdoval Flats, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10645,"Vibgyor High School Road, Spectra Cypress, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10646,"Venkateshwara Tent Road, Flower Garden, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10647,"Venkataswamy Naidu Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560051, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10648,"Vasanthappa Block, Ganga Nagar, Gangenahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10649,"Corporation School, Ācārya Tulsī Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10650,"Corporation Bank, Kempegowda Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10651,"CoreEL Technologies, 80 Feet Road, Koramangala 1st Block, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10652,"Cookie Man, S1, Dr. Rajkumar Road, Subramanya Nagar 2nd Stage, Subrahmanya Nagar, Subramanyanagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560055, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10653,"Convent Road, Spartan Heights Apartments, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10654,"Crescent Road, Trilite Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10655,"Concorde Silicon Valley, Electronic City, Bangalore South, Bengaluru Urban, Karnataka, 560100, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10656,"Bright Smiles Family dental Care, 87, Panathur Main Road, Kaverappa Layout, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10657,"Brigade Road, Shoolay Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10658,"Brigade Road, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10659,"Bugle Rock Road, Gandhi Bazaar, Basavanagudi, Sunkenahalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560004, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10660,"Budigere Cross, Old Madras Road, Konadasanapura, Konadasapura, Bangalore East, Bengaluru Urban, Karnataka, 560049, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10661,"Budigere Cross, Budigere Road, Konadasanapura, Konadasapura, Bangalore East, Bengaluru Urban, Karnataka, 560049, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10662,"Commisioner of Police, Ali Asker Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560052, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10663,"Clapham Street, Skyline Residency Apartment, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10664,"12th Cross Road, BDA Complex, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10665,"12th C Main Road, Rajajinagar Industrial Estate, Dr Rajkumar Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560023, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10666,"12th A Main Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10667,"12th Cross Road, Nagapura, West of Chord Road Stage 2, Mahalakshmipuram, Bengaluru, Karnataka. Pin-560086 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10668,"Vidhan Vidhi Road, Karnataka Bhavan Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10669,"Vidhan Vidhi Road, Dr BR Ambedkar Vedhi, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10670,"Victoria Hospital Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10671,"Bruhat Bengaluru Mahanagara Palike, Hudson Circle, Cubbonpet, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10672,"Bums on The Saddle, 67-11, 8B Main Road, Jayanagar 4th Block, Byrasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560011, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10673,"Collins Aerospace, Bellary Road, Akash Ward, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10674,"Contours Women's Fitness Studio, #825, 3rd floor, Kanakapura Road, Jayanagar 7th Block, Devagiri Temple Ward, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560070, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10675,"Consulate General of Switzerland, 26, Rest House Crescent Road, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10676,"Church Street, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10677,"Chunchaghatta Main Road, Renukamba Nagar, Chunchgatta, Bengaluru, Karnataka. Pin-560062 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10678,"Vinayaka Layout, Hagaduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10679,"Vijinapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560016, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10680,"Vijayalakshmi Silks, Mahatma Gandhi Road, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10681,"Vidyaranyapura Main Road, Nanjappa Layout, Vidyaranyapura, Bengaluru, Karnataka. Pin-560097 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10682,"Vidyaranyapura Main Road, Nandanavanam Layout, Vidyaranyapura, Bengaluru, Karnataka. Pin-560097 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10683,"Vishveswaraiah Road, Perody Classic, Indira Gandhi Housing Colony, Arakere, Bengaluru, Karnataka. Pin-560076 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10684,"Vishveswaraiah Road, Avani Shringeri Nagar, Devarachikannahalli, Bengaluru, Karnataka. Pin-560076 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10685,"Vishal Opticals, Varthur Road, Marathahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10686,"Virgonagar, Avalahalli, Bangalore East, Bengaluru Urban, Karnataka, 560049, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10687,"C.S.I Hudson Memorial Church, 51/1, Hudson Circle, Cubbonpet, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10688,"C Rudramuniyappa Road, SKAV 909, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10689,"C Honnappa Bhagavathar Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10690,"Classic, Sarjapura Road, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10691,"Clarks, 100 Feet Road, Babasaheb Colony, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10692,"11th Main Road, Valliappa Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10693,"11th Main Road, Shivaganga Swagath, Mangammanapalya, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10694,"12th Cross Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10695,"12th Cross Road, Embassy Business Hub, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10696,"Vinoba Nagar Main Road, Gurappa Garden, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10697,"Vinoba Nagar Main Road, Arokiyamma Layout, Kadugondanahalli, Bengaluru, Karnataka. Pin-560045 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10698,"Vinayaka Layout, Nagarabhavi, Vinayaka Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10699,"Commercial Street Shopping Area, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10700,"Colony HM Main Road, SPS Indraprastha, Jyotipuram, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10701,"Bruhat Bengaluru Mahanagara Palike, T. Nanjundappa Road, Sampangi Rama Nagara, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10702,"Bruhat Bengaluru Mahanagara Palike, Mission Road, Cubbonpet, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10703,"Vodafone, Sheshadripuram Main Road, Nehru Nagar, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10704,"Vinayaka Nagara, MS Palaya, Singapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10705,"Viviani Road, Basappa Line, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10706,"Vivekananda College Junction, Dr. Rajkumar Road, Subramanya Nagar 2nd Stage, Subrahmanya Nagar, Kethamaranahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560055, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10707,"Vivekananda College Junction, Dr. Rajkumar Road, Rajajinagara 1st N Block, Kethamaranahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10708,"Vivanta By Taj Yeshwantpur Exit Road, Cardinal One, Industrial Suburb, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10709,"11th Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10710,"12th A Cross Road, Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10711,"12th A Cross Road, Prem Nagar, Kamala Nagar, Bengaluru, Karnataka. Pin-560058 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10712,"Visvanathan Nagenahalli Main Road, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10713,"Virgo Road, NS Paradise Township, Muneshwara Layout Virgonagar, Avalahalli South Taluka, Bengaluru, Karnataka. Pin-560049 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10714,"11th Main Road, Vinayaka Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10715,"Chunchaghatta Main Road, Mid Town, Ganapathipura, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10716,"Chunchaghatta Main Road, GR Greenline Apartment, Chunchgatta, Bengaluru, Karnataka. Pin-560062 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10717,"Bull Temple Road, Mantha Layout, Kempegowda Nagar, Bengaluru, Karnataka. Pin-560004 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10718,"Bull Temple Road, Gandhi Bazaar, Basavanagudi, N.R Colony, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560004, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10719,"11th Main Road, Geetha Colony, Jayanagar 4th Block, Tilak Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560011, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10720,"11th Main Road, Block D, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10721,"WeWork, Service Road, Chinnappanahalli, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10722,"Visvanathan Nagenahalli Main Road, Gangamma Layout, Guddadahalli, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10723,"Vista Tower Road, Godrej United, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10724,"Vista Tower Road, Bhoruka Tech Park, Mahadevapura Industrial Area, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
10725,"Vishwanath Rao Road, Nehru Nagar, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM,High parking violation zone requiring enforcement attention.
