rank,location,total_violations,hotspot_score,severity
9404,"Goli Vada Pav, 9th Cross Road, Jayanagar 2nd Block, Ashoka Pillar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560069, India",1,0.02,MEDIUM
9405,"Golden Jaguar Elevators & Escalators India Pvt. Ltd., 10th Main Road, Rajajinagar 4th Block, Rama Mandira, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM
9406,"Ambur Hot Dum Biryani, Gear School road, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9407,"Amrutha College Road, Astro Silverwood Regency, Chowdappa Layout, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",1,0.02,MEDIUM
9408,"Amruth Nagar Main Road, Konanakunte, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India",1,0.02,MEDIUM
9409,"Amruthahalli Main Road, Hoodi Layout, Jakkuru, Bengaluru, Karnataka. Pin-560092 (India)",1,0.02,MEDIUM
9410,"Girls School Street, Tele Communication Employees Cooperative Society Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",1,0.02,MEDIUM
9411,"Girls School Street, Shree MG Seshadri Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",1,0.02,MEDIUM
9412,"Girls School Street, Jai Bheema Nagar, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",1,0.02,MEDIUM
9413,"Gangadhara Chetty Road, Swapnalok, Hanumanthappa Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1,0.02,MEDIUM
9414,"Gangadhara Chetty Road, Shree Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1,0.02,MEDIUM
9415,"Saint Sebastian Forane Church, MS Ramaiah Road, Aramane Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560012, India",1,0.02,MEDIUM
9416,"Saint Mark's Cathedral, 1, Saint Mark's Road, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9417,"Saint John's Church Road, Sindhi Colony, Cleveland Town, Pulakeshi Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India",1,0.02,MEDIUM
9418,"Saint John's Church Road, Pulakeshi Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India",1,0.02,MEDIUM
9419,"Saint John's Church Road, Kothandram Layout, K Kamaraj Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560042, India",1,0.02,MEDIUM
9420,"Sangeetha, Sarjapura Road, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9421,"Sangeetha, 17th Cross Road, MCHS Colony, Sector 4, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",1,0.02,MEDIUM
9422,"Sangeeth Bar and Restaurant, Sirur Park Road, Nehru Nagar, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560020, India",1,0.02,MEDIUM
9423,"Sanjaynagar Main Road, NGEF Layout, Sanjay Nagara, Nagashettyhalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India",1,0.02,MEDIUM
9424,"Sanjay Nagar Road, Sanjay Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",1,0.02,MEDIUM
9425,"Sangolli Rayanna Road, Prashanth Nagar, Dr. Vishnuvardhan Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India",1,0.02,MEDIUM
9426,"Santrina Hotels, 1st A Cross Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1,0.02,MEDIUM
9427,"Sangama Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM
9428,"1st Main Road, Nester Raga Apartment, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM
9429,"1st Main Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",1,0.02,MEDIUM
9430,"Sangam Road, Commercial Street Market, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560042, India",1,0.02,MEDIUM
9431,"Sampigehalli Road, Sobha City, Chokkanahalli, Bengaluru, Karnataka. Pin-560077 (India)",1,0.02,MEDIUM
9432,"Salvadores, Commissariat Road, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India",1,0.02,MEDIUM
9433,"Salt Mandi Road, Stage 1, Pillanna Garden, Bengaluru, Karnataka. Pin-560084 (India)",1,0.02,MEDIUM
9434,"Salon 101, 51, Vibgyor High School Road, GJM Sai Garden Layout, Kundalahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM
9435,"Salarpuria Sattva Eminence, 176, Outer Ring Road, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM
9436,"Sakuraa Nihongo Resource Centre, 1, 18th Cross Road, Sadashivanagar, Malleshwaram, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560055, India",1,0.02,MEDIUM
9437,"Girls School Street, Unishire Pratyaksh, Kumara Park West, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",1,0.02,MEDIUM
9438,"Amrutha College Road, Bhuvi Colony, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",1,0.02,MEDIUM
9439,"Gear School road, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9440,"Amrutha College Road, Mahaveer Ranches, Naganathapura, Rayasandra, Bengaluru, Karnataka. Pin-560100 (India)",1,0.02,MEDIUM
9441,"Anantha sishu nivasa, Bull Temple Road, Gandhi Bazaar, Basavanagudi, N.R Colony, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560004, India",1,0.02,MEDIUM
9442,"Anantapura Road, Vinayaka Layout, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",1,0.02,MEDIUM
9443,"Ananda Rising Clouds Road, Classmate Castle, Huttanahalli, Bengaluru, Karnataka. Pin-562157 (India)",1,0.02,MEDIUM
9444,"Ananda Rao Flyover, Gandhinagar, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM
9445,"Ananda Rao Flyover, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM
9446,"Anand Readymade, Subedar Chatram Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM
9447,"Gayatri Bhavan Road, AK Colony, Block 7, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",1,0.02,MEDIUM
9448,"Andhrahalli Main Road, Andhrahalli Circle, Andhrahalli, Bengaluru, Karnataka. Pin-560091 (India)",1,0.02,MEDIUM
9449,"Andhra Bank, Dr. Rajkumar Road, Rajajinagar 4M Block, Da.Ra. Bendre Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM
9450,"Sankey Road, Chakravarty Layout, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560020, India",1,0.02,MEDIUM
9451,"Sanjeevappa Lane, Narayana Setty Pet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",1,0.02,MEDIUM
9452,"Sanjeevappa Lane, KR Settypet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",1,0.02,MEDIUM
9453,"Sanjeevani Netralaya, 141, Infantry Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9454,"Sanjaynagar Main Road, Ramakrishna Layout, Geddalahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India",1,0.02,MEDIUM
9455,"1st Main Road, MSH Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",1,0.02,MEDIUM
9456,"Sarjapur Road, Salarpuria Sanctity, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",1,0.02,MEDIUM
9457,"Sarjapur Road, Jain Heights, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",1,0.02,MEDIUM
9458,"Sarjapura Main Road, KPR Sunrise Square, P Krishnappa Layout, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",1,0.02,MEDIUM
9459,"1st Main Road, MC Sarovar Apartment, Sidhappa Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",1,0.02,MEDIUM
9460,"1st Main Road, M Ramaiah Layout, Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",1,0.02,MEDIUM
9461,"1st Main Road, M Lakshman Layout, Sahakara Nagar, Bengaluru, Karnataka. Pin-560097 (India)",1,0.02,MEDIUM
9462,"1st Main Road, Krishnappa Circle, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",1,0.02,MEDIUM
9463,"1st Main Road, NS Palya Industrial Area, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",1,0.02,MEDIUM
9464,"1st Main Road, NR Garden, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",1,0.02,MEDIUM
9465,"1st Main Road, Muniyappa Layout, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",1,0.02,MEDIUM
9466,"Sankey Road, Forest Quarters, Sankey Tank Area, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",1,0.02,MEDIUM
9467,"Sankey Road, Fair Field Layout, High Grounds, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9468,"Anjaneya Temple Street, Krishna Block, Malleshwaram, Bengaluru, Karnataka. Pin-560020 (India)",1,0.02,MEDIUM
9469,"Gangamma Lane, New Bamboo Bazar, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",1,0.02,MEDIUM
9470,"Gali Anjaneya Temple Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560026, India",1,0.02,MEDIUM
9471,"Ganapatipura Main Road, LMC Industrial Layout, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",1,0.02,MEDIUM
9472,"GRT Jewellers, 529, 33rd Cross Road, Jayanagar 4th Block, Byrasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560011, India",1,0.02,MEDIUM
9473,"Gangadhar Chetty Road, K Kamaraj Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560042, India",1,0.02,MEDIUM
9474,"Ganga Vertica Apartments, Electronic City, Bangalore South, Bengaluru Urban, Karnataka, 560100, India",1,0.02,MEDIUM
9475,"Ganga Nagar, Gangenahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560032, India",1,0.02,MEDIUM
9476,"Ganga Bhavani Temple Road, Kote Sri Narayana Swamy Temple Circle, Kodigehalli, Bengaluru, Karnataka. Pin-560092 (India)",1,0.02,MEDIUM
9477,"Ganesha Temple, Food Street, M C Layout, Dr. Vishnuvardhan Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560040, India",1,0.02,MEDIUM
9478,"Ganesha Temple Street, Venkateshappa Circle, Babusapalya, Bengaluru, Karnataka. Pin-560043 (India)",1,0.02,MEDIUM
9479,"Garudacharpalya Main Road, Xylem IT Park, Dyavasandra Industrial Estate Phase 1, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM
9480,"Garuda Mall, Magrath Road, Corporation Quarters, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India",1,0.02,MEDIUM
9481,"Anjanapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India",1,0.02,MEDIUM
9482,"1st Main Road, Kengeri, Bengaluru, Karnataka. Pin-560060 (India)",1,0.02,MEDIUM
9483,"1st Main Road, KR Puram, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",1,0.02,MEDIUM
9484,"1st Main Road, KPA Block, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",1,0.02,MEDIUM
9485,"1st Main Road, Malai Mahadeshwara Layout, Block 9, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",1,0.02,MEDIUM
9486,"1st Main Road, Madiwala New Extension, Madivala, Bengaluru, Karnataka. Pin-560068 (India)",1,0.02,MEDIUM
9487,"Gandhi Marg, Teacher's Colony, Nagarbhavi, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India",1,0.02,MEDIUM
9488,"Gandhi Marg, Nagarbhavi, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India",1,0.02,MEDIUM
9489,"1st Main Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",1,0.02,MEDIUM
9490,"1st Main Road, Jagajyothi Layout, Nagadevanahalli, Bengaluru, Karnataka. Pin-560056 (India)",1,0.02,MEDIUM
9491,"1st Main Road, Krishna Gowda Layout, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",1,0.02,MEDIUM
9492,"1st Main Road, Kodigehalli Circle, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",1,0.02,MEDIUM
9493,"1st Main Road, Khaneshumaari, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",1,0.02,MEDIUM
9494,"1st Main Road, Kengunta, Mallathahalli, Bengaluru, Karnataka. Pin-560056 (India)",1,0.02,MEDIUM
9495,"Sarjapura Main Road, Dommasandra Anekal Taluka, Bengaluru, Karnataka. Pin-562125 (India)",1,0.02,MEDIUM
9496,"Sarjapura Main Road, DNR Arista, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",1,0.02,MEDIUM
9497,"Anjanapura Main Road, Value Plus 1st Block, Narayana Nagar, Doddakallasandra, Bengaluru, Karnataka. Pin-560062 (India)",1,0.02,MEDIUM
9498,"Apple, 24, Vittal Mallya Road, D'Souza Layout, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9499,"Apollo Pharmacy, Vatal Nagaraj Road, Rajajinagar 3rd Block, Rajajinagar, Rajajinagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM
9500,"Apollo Pharmacy, 54th Cross Road, Rajajinagar 4th Block, Rama Mandira, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",1,0.02,MEDIUM
9501,"Gandhi Bazar Road, Micronova Data Center, Gandhi Bazar, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",1,0.02,MEDIUM
9502,"Gandhi Bazar Road, Ashrama Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",1,0.02,MEDIUM
9503,"Annai Veilankanni Chapel Road, Pottery Town, Benson Town, Bengaluru, Karnataka. Pin-560046 (India)",1,0.02,MEDIUM
9504,"Arkavathy Layout Main Road, Arkavathy Layout 8th Block, Arkavathy Layout, Jakkur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",1,0.02,MEDIUM
9505,"Fresh World, 14, Sundaramurthi Road, Cox Town, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India",1,0.02,MEDIUM
9506,"Freedom Park MLCP, Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM
9507,"1st Main Road, Herohalli Cross, Madeshwara Nagar, Bengaluru, Karnataka. Pin-560091 (India)",1,0.02,MEDIUM
9508,"1st Main Road, K.S. Nissar Ahmed Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560016, India",1,0.02,MEDIUM
9509,"1st Main Road, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",1,0.02,MEDIUM
9510,"Sarjapura Road, Doddakannalli, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India",1,0.02,MEDIUM
9511,"Sarjapura Road, Ambalipura, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9512,"Sarjapura Road, Ambalipura, Kaikondrahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9513,"GP Rajarathnam Road, Shashi Kiran Apartment, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",1,0.02,MEDIUM
9514,"GMR, 74/3, Outer Ring Road, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore Urban, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9515,"GM Palya Main Road, Vignan Nagar, Bengaluru, Karnataka. Pin-560075 (India)",1,0.02,MEDIUM
9516,"GM Palya Main Road, Netrvati Layout, Malleshpalya, Bengaluru, Karnataka. Pin-560075 (India)",1,0.02,MEDIUM
9517,"GM Palya Main Road, BEML Township, GM Palya, Bengaluru, Karnataka. Pin-560075 (India)",1,0.02,MEDIUM
9518,"GKVK Campus Road, Judicial Layout, Yelahanka, Bengaluru, Karnataka. Pin-560065 (India)",1,0.02,MEDIUM
9519,"Sarovar Portico, 39/5, Doddanekkundi Main Road, Ferns Habitat, Doddanekundi, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM
9520,"Sarovar Portico, 39/5, Doddanekkundi Main Road, Doddanekundi, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",1,0.02,MEDIUM
9521,"Sarjapura Road, Sulikunte, Kodathi, Bangalore East, Bengaluru Urban, Karnataka, 560099, India",1,0.02,MEDIUM
9522,"Sarjapura Road, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9523,"Sarjapura Road, Ambalipura, Kaikondrahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India",1,0.02,MEDIUM
9524,"Sarjapura Road, Ambalipura, Kaikondrahalli, Kasavanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India",1,0.02,MEDIUM
9525,"1st Main Road, Gruha Lakshmi Layout Stage 2, Kamala Nagar, Bengaluru, Karnataka. Pin-560079 (India)",1,0.02,MEDIUM
9526,"1st Main Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1,0.02,MEDIUM
9527,"1st Main Road, Green Leaf Layout, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1,0.02,MEDIUM
9528,"1st Main Road, Govindram Nagpal Block, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)",1,0.02,MEDIUM
9529,"1st Main Road, Infosys Bangalore Campus, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",1,0.02,MEDIUM
9530,"Sarjapura Main Road, Suncity Gloria, Carmelaram, Bengaluru, Karnataka. Pin-560035 (India)",1,0.02,MEDIUM
9531,"GKB Opticals, Sampige Road, Malleswaram, Malleshwaram, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560003, India",1,0.02,MEDIUM
9532,"GBJ School Road Number 1, Bharat Regency, Anand Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",1,0.02,MEDIUM
9533,"G R Vishwanath Underpass, Outer Ring Road Underpass, Shakambarinagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India",1,0.02,MEDIUM
9534,"Annipura Main Road, Block 2, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",1,0.02,MEDIUM
9535,"Frazer Town, Pulakeshi Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India",1,0.02,MEDIUM
9536,"Foto Circle, Subedar Chatram Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",1,0.02,MEDIUM
9537,"Arcot Ramachandran, 3, Crescent Road, Srikantan Layout, High Grounds, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9538,"Aralu Mallige Parthasarathy Road, Ramakrishna Yogashram, Giri Nagar, Bengaluru, Karnataka. Pin-560085 (India)",1,0.02,MEDIUM
9539,"Aradhana Gowri Condiments & Chats, 544, Avenue Road, Mamulpete, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",1,0.02,MEDIUM
9540,"Arunachalam Mudaliar Road, Nehru Puram, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",1,0.02,MEDIUM
9541,"Arumugam Mudaliar Road, VV Puram, V.V Puram, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",1,0.02,MEDIUM
9542,"G Narayana Kumar Road, Karnataka Electricity Board Quarters, Govindaraja Nagar, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",1,0.02,MEDIUM
9543,"Fj Merrit Hydrotherapy And Wellness, 101, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1,0.02,MEDIUM
9544,"Fitness Freak, Subedar Chatram Road, Nehru Nagar, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560020, India",1,0.02,MEDIUM
9545,"Sathya Pramoda Tirtha Road, Sankarapuram, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",1,0.02,MEDIUM
9546,"1st Main Road, Gandhi Circle, Horamavu, Bengaluru, Karnataka. Pin-560113 (India)",1,0.02,MEDIUM
9547,"1st Main Road, Esteem Classic, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1,0.02,MEDIUM
9548,"1st Main Road, Esteem Classic Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1,0.02,MEDIUM
9549,"1st Main Road, ETA Mall, Binnypete, Bengaluru, Karnataka. Pin-560023 (India)",1,0.02,MEDIUM
9550,"1st Main Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",1,0.02,MEDIUM
9551,"Further Extension, Jnana Bharathi, Sir MV Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India",1,0.02,MEDIUM
9552,"Arumugam Mudaliar Road, Kalasipalyam, D.V Gundappa Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",1,0.02,MEDIUM
9553,"Arumugam Mudaliar Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",1,0.02,MEDIUM
9554,"Arul Mighu Shree Padavedu Mariamman Thiru Koil, 7, MK Street, Commercial Street Shopping Area, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9555,"Ashoka Stambha Road, Kanaka Nayaka Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",1,0.02,MEDIUM
9556,"Ashoka Puram Road, BCM Vertex, Industrial Suburb, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1,0.02,MEDIUM
9557,"Seppings Road, Bharathi Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",1,0.02,MEDIUM
9558,"Seetharampalya Road, Thimmareddy Layout, Hoodi, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM
9559,"Seetharampalya Road, Seetharampalya, Whitefield, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM
9560,"Seetharampalya Road, Regent Gateway, Visveshwaraiah Industrial Estate, Bengaluru, Karnataka. Pin-560048 (India)",1,0.02,MEDIUM
9561,"Seema Art Jewellery, 37, D V Gundappa Road, Gandhi Bazaar, Basavanagudi, Sunkenahalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560004, India",1,0.02,MEDIUM
9562,"Seegehalli Main Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",1,0.02,MEDIUM
9563,"Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",1,0.02,MEDIUM
9564,"Savoury - Sea Shell Restaurant, #10, Bhavani Layout, Bannerghatta Road, S.G Palya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560029, India",1,0.02,MEDIUM
9565,"Savi Forex and Tours Private Limited, 46/2, Service Road, Bandepalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",1,0.02,MEDIUM
9566,"Service Road, Green Glen Layout, Bellanduru, Bellandur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",1,0.02,MEDIUM
9567,"1st Main Road, Durgamba Layout, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",1,0.02,MEDIUM
9568,"1st Main Road, Durga Parameshwari Nagar, Hosakerehalli, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",1,0.02,MEDIUM
9569,"1st Main Road, Dr K Shivaramakarantha Circle, Jalahalli, Bengaluru, Karnataka. Pin-560013 (India)",1,0.02,MEDIUM
